Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Alternative Organism Name],Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Compound PubChem URL,Alternative Compound PubChem CID,Alternative Compound PubChem URL,Compound ChEMBL ID,Alternative Compound ChEMBL ID,Broad Identifier,Compound InChIKey,Alternative Compound InChIKey,Compound SMILES,Alternative Compound SMILES,Control Type,Channels,Nuclei Count,Percentage Effect,Percentage Viability
ESP0029846.zarr,D3,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,PF-431396,11598628,https://pubchem.ncbi.nlm.nih.gov/compound/11598628,,,CHEMBL472212,,"BRD-K93788137-001-04-1, BRD-K93788137-001-05-9",POJZIZBONPAWIV-UHFFFAOYSA-N,,O=C2NC1=CC=C(NC3=NC=C(C(F)(F)F)C(NCC4=CC=CC=C4N(C)S(=O)(C)=O)=N3)C=C1C2,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,389,15.35,80.59
ESP0029846.zarr,D4,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,AC-261066,11530459,https://pubchem.ncbi.nlm.nih.gov/compound/11530459,,,CHEMBL198997,,"BRD-K31144453-001-02-2, BRD-K31144453-001-03-9",HSAOETBFVAWNRP-UHFFFAOYSA-N,,CC1=C(OCCOCCCC)N=C(C2=CC=C(C(O)=O)C(F)=C2)S1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,443,7.08,91.78
ESP0029846.zarr,D5,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Ro-1138452,9839644,https://pubchem.ncbi.nlm.nih.gov/compound/9839644,,,CHEMBL9540,,"BRD-K77220725-003-01-5, BRD-K77220725-003-02-9",GYYRMJMXXLJZAB-UHFFFAOYSA-N,,CC(C)OC1=CC=C(CC2=CC=C(NC3=NCCN3)C=C2)C=C1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,516,42.27,106.9
ESP0029846.zarr,D6,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,PNU-37883,64393,https://pubchem.ncbi.nlm.nih.gov/compound/64393,,,CHEMBL333121,,"BRD-K12769093-003-01-3, BRD-K12769093-003-02-1",GKCGWXNLOYTUNC-UHFFFAOYSA-N,,C1(CC3C2)CC2(/N=C(N5CCOCC5)/NC4CCCCC4)CC(C3)C1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,491,-0.26,101.72
ESP0029846.zarr,D7,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,aurora-a-inhibitor-i,44139710,https://pubchem.ncbi.nlm.nih.gov/compound/44139710,,,CHEMBL502124,,"BRD-K53561341-001-09-1, BRD-K53561341-001-07-5",AKSIZPIFQAYJGF-UHFFFAOYSA-N,,O=C(NC3=CC=CC=C3Cl)C(C=C2)=CC=C2NC1=C(F)C=NC(NC4=CC=C(CC(N5CCN(CC)CC5)=O)C=C4)=N1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,440,8.87,91.16
ESP0029846.zarr,D8,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,BIX-02189,46931012,https://pubchem.ncbi.nlm.nih.gov/compound/46931012,,,,,"BRD-K73368362-001-08-3, BRD-K73368362-001-07-5",HOMJAAIVTDVQJA-IZHYLOQSSA-N,,O=C2NC1=CC(C(N(C)C)=O)=CC=C1/C2=C(C4=CC=CC=C4)/NC3=CC(CN(C)C)=CC=C3,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,474,40.48,98.2
ESP0029846.zarr,D9,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,voglibose,444020,https://pubchem.ncbi.nlm.nih.gov/compound/444020,,,CHEMBL476960,,BRD-K59331299-001-01-2,FZNCGRZWXLXZSZ-CIQUZCHMSA-N,,O[C@@H]1[C@](CO)(O)C[C@H](NC(CO)CO)[C@H](O)[C@H]1O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,456,7.39,94.47
ESP0029846.zarr,D10,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,"4-Phenolsulfonic acid, sodium salt dihydrate",3010347,https://pubchem.ncbi.nlm.nih.gov/compound/3010347,100915014,https://pubchem.ncbi.nlm.nih.gov/compound/100915014,,,BRD-K41024817-325-01-0,FEPBITJSIHRMRT-UHFFFAOYSA-M,,O=S(=O)([O-])c1ccc(O)cc1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,546,-0.61,113.12
ESP0029846.zarr,D11,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,alvocidib,5287969,https://pubchem.ncbi.nlm.nih.gov/compound/5287969,,,CHEMBL428690,,"BRD-K87909389-003-04-2, BRD-K87909389-003-03-4, BRD-K87909389-003-09-9",BIIVYFLTOXDAOV-YVEFUNNKSA-N,,CN(CC3)C[C@@H](O)[C@H]3[C@]1=C(OC(C4=CC=CC=C4Cl)=CC2=O)C2=C(O)C=C1O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,245,1.91,50.76
ESP0029846.zarr,D12,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,nor-Binaltorphimine-dihydrochloride,5480230,https://pubchem.ncbi.nlm.nih.gov/compound/5480230,,,CHEMBL573214,,"BRD-K36381762-300-02-7, BRD-K36381762-300-03-5, BRD-K36381762-300-04-9",APSUXPSYBJVPPS-YAUKWVCOSA-N,,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2[C@@H]4Oc6c7c(C[C@H]8N(CC9CC9)CC[C@@]47[C@@]8(O)Cc2c1C[C@@]35O)ccc6O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,537,2.52,111.25
ESP0029846.zarr,D13,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,fananserin,60785,https://pubchem.ncbi.nlm.nih.gov/compound/60785,,,CHEMBL83894,,"BRD-K08998509-001-03-2, BRD-K08998509-001-02-4",VGIGHGMPMUCLIQ-UHFFFAOYSA-N,,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,480,0.28,99.44
